,Year,Expense Type,Competition,Expense,Amount,Date,Account,Paid
Spring 2022,,,,,,,,
Registration,,,,,"$5,461.34",,,
Competition:,,,,,Sum:,,,
UPSL,,,,,"$4,141.34",,,
,Spring 2022,Registration,UPSL,UPSL Annual Membership Fee,$500.00,12/23/21,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL Spring 2022 Season Team Registration Fee,"$2,000.00",12/23/21,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL Winter 2022 - Regional Cup,$325.00,1/25/2022,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL Player Registration,$647.87,2/4/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL Player Registration ,$114.33,2/18/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,Player registration ,$96.82,3/26/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration ,$76.22,4/2/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration ,$76.22,4/2/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration ,$114.33,4/9/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration,$38.11,4/17/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration,$76.22,4/30/22,Potros FC,TRUE
,Spring 2022,Registration,UPSL,UPSL player registration,$76.22,5/6/22,Potros FC,TRUE
ADASL,,,,,"$1,320.00",,,
,Spring 2022,Registration,ADASL,ADASL Player Registration,$220.00,1/22/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL Player Registration,$165.00,1/22/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$220.00,1/29/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$110.00,2/5/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$55.00,2/19/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$110.00,3/26/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$275.00,4/2/2022,Potros FC,TRUE
,Spring 2022,Registration,ADASL,ADASL player registration,$165.00,4/9/2022,Potros FC,TRUE
Referee fees,,,,,"$3,520.00",,,
Competition:,,,,,Sum:,,,
UPSL,,,,,"$2,100.00",,,
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Regional Cup 1,$140.00,2/3/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Regional Cup 2,$280.00,2/10/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Limeño,$140.00,3/22/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Rovers,$140.00,3/29/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - elephants ,$140.00,4/4/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Georgia fc,$140.00,4/12/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Kalonji ,$140.00,4/19/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Birmingham  ,$140.00,4/27/2022,Potros FC,TRUE
,Spring 2022,Referee fees,UPSL,UPSL Referee Fees - Augusta,$140.00,4/27/2022,Potros FC,TRUE
