Rank,ID,First Name,Last Name,Name,MP,Goals,Effectiveness,Assists,Yellow Cards,Red Cards
1,5,Marc,Bineau,Marc Bineau,49,29,59.2%,6,8,0
2,7,Manuel,Carrillo,Manuel Carrillo,46,28,60.9%,15,11,1
3,20,Antonio,Carrero,Antonio Carrero,26,19,73.1%,9,2,0
4,16,Seedou,Cham,Seedou Cham,29,15,51.7%,16,3,0
5,34,Sebastian,Montero,Sebastian Montero,20,15,75.0%,6,3,0
6,41,Lisandro,Hernandez,Lisandro Hernandez,18,15,83.3%,3,3,1
7,1,Benjamin,Uranga,Benjamin Uranga,104,12,11.5%,14,18,1
8,23,Kristopher,Bass,Kristopher Bass,26,12,46.2%,7,0,0
9,10,Yannick,Herschberg,Yannick Herschberg,34,10,29.4%,7,6,0
10,21,Josh,Hollman,Josh Hollman,26,10,38.5%,5,7,1
11,53,Mark,Watson,Mark Watson,15,7,46.7%,3,2,0
12,11,Gabriel,do Carmo,Gabriel do Carmo,33,6,18.2%,3,3,1
13,18,Niles,Brown,Niles Brown,28,6,21.4%,1,2,0
14,29,Randy,Calvillo,Randy Calvillo,22,6,27.3%,4,0,0
15,4,Sebastian,Ramirez,Sebastian Ramirez,62,5,8.1%,11,4,0
16,32,Jack,Gilligan,Jack Gilligan,23,5,21.7%,8,0,0
17,80,Lucas,Pegorer,Lucas Pegorer,10,5,50.0%,5,0,0
18,79,Alan,Kazemian,Alan Kazemian,8,5,62.5%,5,0,0
19,2,Christopher,Uranga,Christopher Uranga,89,4,4.5%,5,2,0
20,6,Jose,Segura,Jose Segura,47,4,8.5%,3,3,2
21,8,Augusto,Del Rio,Augusto Del Rio,45,4,8.9%,15,3,1
22,15,Kaan,Vann,Kaan Vann,30,4,13.3%,4,3,2
23,35,Osvaldo,Franco,Osvaldo Franco,20,4,20.0%,0,0,0
24,58,Logan,Llano,Logan Llano,13,4,30.8%,4,1,0
25,61,Chileshe,Chipumbu,Chileshe Chipumbu,12,4,33.3%,1,1,0
26,113,Jean,Altidor,Jean Altidor,4,4,100.0%,1,0,0
27,9,Rodrigo,Feitosa,Rodrigo Feitosa,42,3,7.1%,2,4,0
28,13,Christopher,Forde,Christopher Forde,31,3,9.7%,1,3,0
29,19,Anawin,Boonprasert,Anawin Boonprasert,28,3,10.7%,4,3,0
30,25,Andrew,Dornan,Andrew Dornan,24,3,12.5%,1,2,0
31,44,Georgie,Angelides,Georgie Angelides,17,3,17.6%,0,0,0
32,45,Oscar,Zavala,Oscar Zavala,17,3,17.6%,0,1,0
33,59,Russell,Joseph,Russell Joseph,13,3,23.1%,0,0,0
34,71,Daniel,Ailemen,Daniel Ailemen,12,3,25.0%,3,0,0
35,81,Andres,Urbaez,Andres Urbaez,8,3,37.5%,0,0,0
36,91,Doji,Etheleau,Doji Etheleau,6,3,50.0%,0,0,0
37,22,Jaír,Figueroa,Jaír Figueroa,26,2,7.7%,3,2,0
38,26,Nick,Uranga,Nick Uranga,24,2,8.3%,2,1,0
