Player_ID,MP,Goals,Assists,Yellow Cards,Red Cards,Competition ID,Season
1,17,2,2,4,0,1,2018-19
1,16,2,6,0,0,1,2019-20
1,12,5,0,1,0,3,Fall 2020
1,11,0,1,2,0,4,Spring 2021
1,11,0,1,2,1,3,Spring 2022
1,11,1,2,4,0,3,Spring 2021
1,9,0,0,2,0,3,Fall 2021
1,8,2,1,1,0,1,2021-22
1,4,0,0,2,0,5,Summer 2022
1,3,0,1,0,0,6,Summer 2022
1,2,0,0,0,0,6,Summer 2022
2,18,2,1,1,0,1,2021-22
2,17,0,1,0,0,1,2018-19
2,16,1,2,0,0,1,2019-20
2,12,0,0,1,0,4,Spring 2021
2,7,1,1,0,0,6,Summer 2022
2,6,0,0,0,0,3,Fall 2021
2,5,0,0,0,0,3,Fall 2020
2,4,0,0,0,0,3,Spring 2021
2,3,0,0,0,0,5,Winter 2022
2,1,0,0,0,0,5,Summer 2022
3,17,0,0,0,0,1,2021-22
3,16,0,1,1,0,1,2019-20
3,13,0,0,0,0,3,Fall 2020
3,11,0,1,1,0,4,Spring 2021
3,6,0,0,0,0,6,Summer 2022
3,3,0,0,0,0,5,Winter 2022
3,3,0,0,1,0,3,Fall 2021
3,3,0,0,0,0,3,Spring 2021
3,3,0,0,0,0,3,Spring 2022
3,1,0,0,0,0,5,Summer 2022
4,13,0,4,1,0,3,Fall 2020
4,11,0,1,0,0,3,Spring 2022
4,10,0,2,1,0,3,Fall 2021
4,10,1,0,1,0,3,Spring 2021
4,9,1,2,1,0,4,Spring 2021
4,3,0,0,0,0,5,Summer 2022
4,2,0,0,0,0,5,Winter 2022
4,2,2,1,0,0,1,2021-22
4,2,1,1,0,0,1,2019-20
5,12,9,1,4,0,3,Spring 2022
5,11,6,2,0,0,3,Spring 2021
5,9,5,2,1,0,1,2018-19
5,8,5,1,1,0,3,Fall 2021
5,7,3,0,2,0,4,Spring 2021
5,1,0,0,0,0,5,Summer 2022
5,1,1,0,0,0,1,2021-22
6,15,2,2,0,0,1,2019-20
6,13,2,1,2,0,3,Fall 2020
6,10,0,0,1,2,4,Spring 2021
6,9,0,0,0,0,3,Spring 2021
7,12,8,4,3,0,3,Spring 2022
7,11,6,2,3,0,3,Spring 2021
7,10,8,2,1,0,3,Fall 2021
7,6,2,5,1,0,1,2021-22
7,4,1,1,2,0,5,Summer 2022
7,2,3,1,1,1,5,Winter 2022
7,1,0,0,0,0,4,Spring 2021
8,12,0,4,0,0,3,Spring 2022
8,9,2,1,1,1,3,Spring 2021
8,9,0,0,0,0,3,Fall 2021
8,6,0,3,2,0,4,Spring 2021
8,3,1,1,0,0,5,Winter 2022
8,3,1,1,0,0,5,Summer 2022
8,3,0,5,0,0,1,2021-22
9,11,0,0,0,0,3,Fall 2020
9,10,2,0,2,0,4,Spring 2021
9,8,0,0,0,0,1,2019-20
9,7,0,1,1,0,3,Spring 2021
9,4,1,1,1,0,6,Summer 2022
9,2,0,0,0,0,5,Summer 2022
10,15,8,6,3,0,1,2019-20
10,7,1,1,1,0,3,Fall 2021
10,6,0,0,1,0,1,2021-22
10,3,0,0,0,0,5,Winter 2022
10,3,1,0,1,0,3,Fall 2020
11,14,2,1,2,0,3,Fall 2020
11,10,2,0,0,1,3,Spring 2021
11,8,2,2,1,0,4,Spring 2021
11,1,0,0,0,0,3,Fall 2021
12,15,0,0,0,0,1,2018-19
12,15,0,0,0,0,1,2019-20
12,2,0,0,0,0,3,Fall 2020
13,15,3,1,2,0,1,2019-20
